Player,Pos,Tm,Opp,Pred Pts,DK Salary,Pts/$
Zach Mettenberger,QB,TEN,IND,8.964876492,5000,1.792975298
Andre Johnson,WR,HOU,JAC,8.746290308,4900,1.784957206
Jimmy Clausen,QB,CHI,MIN,8.581429605,5200,1.650274924
Leon Washington,RB,TEN,IND,8.571619916,4200,2.040861885
Colt McCoy,QB,WAS,DAL,8.564137723,,
Travis Kelce,TE,KC,SD,8.554492596,4600,1.859672303
Andrew Hawkins,WR,CLE,BAL,8.494129034,3300,2.573978495
Isaiah Crowell,RB,CLE,BAL,8.474151766,3800,2.230039938
Jared Cook,TE,STL,SEA,8.455253575,3400,2.486839287
Terrance Williams,WR,DAL,WAS,8.443012277,3500,2.412289222
Philly Brown,WR,CAR,ATL,8.433631138,3000,2.811210379
Andre Holmes,WR,OAK,DEN,8.372175197,3600,2.325604221
Rashad Jennings,RB,NYG,PHI,8.318365247,4500,1.84852561
Jerricho Cotchery,WR,CAR,ATL,8.312001692,3500,2.374857626
Luke Willson,TE,SEA,STL,8.289972487,4200,1.973802973
Scott Chandler,TE,BUF,NE,8.203014168,3500,2.343718334
Chris Hogan,WR,BUF,NE,8.086519142,3200,2.527037232
Donte Moncrief,WR,IND,TEN,7.982400358,4600,1.735304426
Chris Johnson,RB,NYJ,MIA,7.952698116,3400,2.339028858
Michael Floyd,WR,ARI,SF,7.884925796,3700,2.131061026
Albert Wilson,WR,KC,SD,7.842669612,3800,2.063860424
Riley Cooper,WR,PHI,NYG,7.650081916,4300,1.779088818
DeSean Jackson,WR,WAS,DAL,7.634598353,5800,1.316310061
Steven Jackson,RB,ATL,CAR,7.604367581,4000,1.901091895
Pierre Garcon,WR,WAS,DAL,7.502275982,4600,1.630929561
Hakeem Nicks,WR,IND,TEN,7.486954366,4000,1.871738592
Jordan Cameron,TE,CLE,BAL,7.44809506,4400,1.692748877
Wes Welker,WR,DEN,OAK,7.406510446,3700,2.00175958
Nick Toon,WR,NO,TB,7.402804754,3300,2.243274168
Marquess Wilson,WR,CHI,MIN,7.401096757,4300,1.721185292
Kenny Britt,WR,STL,SEA,7.391838099,4000,1.847959525
Dion Sims,TE,MIA,NYJ,7.386539894,3000,2.462179965
Michael Crabtree,WR,SF,ARI,7.310292756,4100,1.782998233
Chris Ivory,RB,NYJ,MIA,7.2761907,3600,2.021164083
Kenbrell Thompkins,WR,OAK,DEN,7.180410228,3900,1.841130828
Kyle Rudolph,TE,MIN,CHI,7.152335676,3200,2.235104899
Dontrelle Inman,WR,SD,KC,7.065504874,3800,1.859343388
Dwayne Bowe,WR,KC,SD,7.0199236,3600,1.949978778
Darren Sproles,RB,PHI,NYG,6.883199344,4000,1.720799836
Pierre Thomas,RB,NO,TB,6.771036816,3800,1.781851794
Marcel Reece,RB,OAK,DEN,6.716330015,3000,2.238776672
Reggie Bush,RB,DET,GB,6.69434479,5000,1.338868958
Cecil Shorts,WR,JAC,HOU,6.674921834,3200,2.085913073
Brandon Marshall,WR,CHI,MIN,6.664186858,,
Jason Avant,WR,KC,SD,6.646979827,3000,2.215659942
Bruce Ellington,WR,SF,ARI,6.639216678,3000,2.213072226
Toby Gerhart,RB,JAC,HOU,6.624696607,3800,1.743341213
Devin Hester,WR,ATL,CAR,6.514596701,3500,1.861313343
Paul Richardson,WR,SEA,STL,6.507641115,3300,1.972012459
Chris Givens,WR,STL,SEA,6.48722369,3000,2.162407897
Jordan Reed,TE,WAS,DAL,6.454301712,3500,1.844086204
Ryan Mathews,RB,SD,KC,6.436789324,4600,1.399302027
Markus Wheaton,WR,PIT,CIN,6.319541147,3000,2.106513716
Charles Sims,RB,TB,NO,6.259673596,3000,2.086557865
Jeff Cumberland,TE,NYJ,MIA,6.247667501,3200,1.952396094
Jonas Gray,RB,NE,BUF,6.227484038,3800,1.638811589
LeGarrette Blount,RB,NE,BUF,6.20150165,4400,1.409432193
Mohamed Sanu,WR,CIN,PIT,6.177513853,4000,1.544378463
James Starks,RB,GB,DET,6.175118087,3000,2.058372696
Preston Parker,WR,NYG,PHI,6.160542604,3000,2.053514201
Devonta Freeman,RB,ATL,CAR,6.156638795,3600,1.710177443
Reggie Wayne,WR,IND,TEN,6.140620056,3900,1.574517963
Shane Vereen,RB,NE,BUF,6.129785633,4100,1.495069667
Tavon Austin,WR,STL,SEA,6.128393316,3200,1.915122911
Eric Weems,WR,ATL,CAR,6.125144445,3000,2.041714815
Jordan Todman,RB,JAC,HOU,6.103740688,3100,1.968948609
Larry Donnell,TE,NYG,PHI,6.031731625,3500,1.723351893
Davante Adams,WR,GB,DET,5.985613476,3000,1.995204492
Case Keenum,QB,HOU,JAC,5.980963357,5000,1.196192671
Brandon Gibson,WR,MIA,NYJ,5.971988624,3000,1.990662875
Knile Davis,RB,KC,SD,5.971827027,3500,1.706236293
Derek Anderson,QB,CAR,ATL,5.970708757,5000,1.194141751
Jeremy Kerley,WR,NYJ,MIA,5.962992475,3700,1.611619588
John Brown,WR,ARI,SF,5.924823427,3000,1.974941142
